plot_number,id,Ycoordinate,Xcoordinate
214,FOR to SHB,10.95657186,98.82743733
215,FOR to SHB,10.67872294,98.59324654
216,FOR to SHB,11.01289623,98.7791978
217,FOR to SHB,12.03549115,99.2007056
218,FOR to SHB,14.69958215,98.32914184
219,FOR to SHB,13.44104244,98.99614094
220,FOR to SHB,12.11243413,99.03252271
221,FOR to SHB,10.38996236,98.54766181
222,FOR to SHB,12.85150262,98.810598
223,FOR to SHB,10.50355146,98.61211116
224,FOR to SHB,11.45290738,98.91627255
225,FOR to SHB,11.27789923,98.93864876
226,FOR to SHB,14.01237096,98.87082596
227,FOR to SHB,14.45464152,98.0093416
228,FOR to SHB,14.11747385,98.86813101
229,FOR to SHB,14.1996697,98.54743246
230,FOR to SHB,11.05601536,98.76572307
231,FOR to SHB,11.97229695,99.23329618
232,FOR to SHB,10.87725062,98.94448781
233,FOR to SHB,10.73396933,98.73877361
234,FOR to SHB,14.16598287,98.35878625
235,FOR to SHB,10.95078997,98.93795461
236,FOR to SHB,11.73749979,99.03622826
237,FOR to SHB,12.54093052,99.02982776
238,FOR to SHB,10.29604063,98.60806874
239,FOR to SHB,14.16490489,98.7042783
240,FOR to SHB,11.62299051,99.06403285
241,FOR to SHB,10.7236387,98.74057024
242,FOR to SHB,13.83450453,98.9880561
243,FOR to SHB,14.17685765,98.42467492
244,FOR to SHB,11.77826085,99.5553422
245,FOR to SHB,12.24892521,98.92995624
246,FOR to SHB,14.74270129,97.84674653
247,FOR to SHB,10.71914713,98.59594148
248,FOR to SHB,12.58135471,98.94089455
249,FOR to SHB,12.83340307,98.95139066
250,FOR to SHB,10.29334568,98.60402632
251,FOR to SHB,10.81347023,98.87486838
252,FOR to SHB,10.8116736,98.67072623
253,FOR to SHB,14.38292601,98.37360845
254,FOR to SHB,14.20101717,98.36417614
255,FOR to SHB,13.26317601,98.95975917
256,FOR to SHB,12.34958937,98.96784401
257,FOR to SHB,14.51632583,98.05695231
258,FOR to SHB,10.71443097,98.67678986
259,FOR to SHB,10.08583485,98.53934762
260,FOR to SHB,14.97626326,97.93133789
261,FOR to SHB,10.64907854,98.520483
262,FOR to SHB,12.71340706,98.92472488
263,FOR to SHB,10.70836734,98.49353354
264,FOR to SHB,14.68071753,98.18765718
265,FOR to SHB,11.77354469,99.2743941
